Subject,Title,Author(s),Edition/Year,Level,Why Recommended,Core Chapters,Problem Sources,Alternative/Supplement,Notes,Status
Math Prerequisites,Mathematical Methods in the Physical Sciences,Mary L. Boas,3rd (2006),Introductory Undergrad,Accessible physics-focused approach; builds intuition,Chapters 1-3; 5-8; 11-14,200+ end-of-chapter problems (graduated difficulty),Arfken & Weber (more rigorous; graduate level),"Start here for undergraduates. Boas more readable than Arfken. Use Arfken for reference once comfortable."
Math Prerequisites,Mathematical Methods for Physicists,Arfken Weber Harris,7th (2013),Graduate,Comprehensive reference; standard in grad programs,Chapters 1-15 (selective),150+ problems throughout (challenging),Boas (undergraduate stage),Use as reference manual. Read chapters as needed. Very dense.
Math Prerequisites,Calculus,James Stewart,8th (2015),Undergrad,Multi-variable calculus essentials,Chapters 12-16 (vector calc),1000+ problems,Any modern calculus text,Ensure competency in partial derivatives; Jacobians; Hessians.
Linear Algebra,Introduction to Linear Algebra,Gilbert Strang,5th (2016),Undergrad,Elegant; intuitive; geometric perspective,All chapters,500+ problems online free,Linear Algebra Done Right by Axler (more proof-focused),MIT OCW 18.06 videos (free) + course materials. Essential for quantum mechanics.
ODE/PDE,Partial Differential Equations for Scientists & Engineers,Stanley Farlow,1993,Undergrad,Applications-oriented; clear exposition,Chapters 1-8,250 problems,Boas Chapter 10; Arfken Chapter 10,Focus on separation of variables; wave equation; heat equation.
Complex Analysis,Complex Analysis (Princeton Lectures),Ahlfors,3rd (1979),Graduate,Rigorous foundational text,Chapters 1-6 (read selectively),100+ problems (challenging),Boas Chapter 2; Arfken Chapter 6 (introductory),Essential for residue theorem. Ahlfors is terse; Boas more accessible first.
Classical Mechanics,An Introduction to Mechanics,Kleppner & Kolenkow,2nd (2014),Undergrad,Clear; well-paced; extensive problems,Chapters 1-8,100+ problems (well-graded),University Physics (Freedman & Young) for basics,Best undergraduate starting point. Problems range from computational to conceptual.
Classical Mechanics,Classical Mechanics,Herbert Goldstein,3rd (2002),Graduate,Standard reference; Lagrangian/Hamiltonian formalism,Chapters 1-10,150+ problems (challenging),Landau & Lifshitz Vol. 1 (terse elegance),Spend Year 1-2 on this. Chapters 8-9 (Hamilton-Jacobi) deferred to advanced.
Classical Mechanics,Mechanics (Volume 1),Landau Lifshitz,3rd (1976),Graduate,Elegantly minimal; deep physical insight,All chapters (but concise),50 problems (each very deep),Goldstein (more detailed),Not an introductory text. Return to after Goldstein. Emphasizes principles; few worked examples.
Classical Mechanics,Mathematical Methods of Classical Mechanics,Vladimir Arnold,1989,Advanced Graduate,Geometric/topological perspective,Chapters 1-10 (selectively),100+ problems,Goldstein chapters 8-9 (analytical approach),For mathematically sophisticated learners. Reveals deep structure of mechanics.
Electromagnetism,Introduction to Electrodynamics,David Griffiths,5th (2023),Undergrad,Informal tone; physically intuitive; excellent figures,Chapters 1-11,200+ problems (well-graded); Solutions Manual available,University Physics Vol. 2; Purcell (Berkeley),PRIMARY TEXT. Now published by Cambridge (cheaper than Pearson). Edition 5 updated.
Electromagnetism,Classical Electrodynamics,John Jackson,3rd (1999),Graduate,Comprehensive reference; challenging,Chapters 1-16 (selective),200 problems (very hard),Panofsky & Phillips (more accessible); Griffiths (undergraduate alternative),Standard graduate reference. Requires patience. Use after Griffiths mastery.
Electromagnetism,The Feynman Lectures on Physics Vol. II,Richard Feynman,1964,Undergrad,Physical intuition; real-world perspective,Chapters 1-34,Integrated problems,Griffiths (more systematic),Supplement Griffiths for intuition. Not comprehensive but deeply insightful.
Electromagnetism,Electricity and Magnetism (Berkeley Physics Course),Edward Purcell,2nd (1985),Undergrad,Elegant; pedagogically superior in places,Chapters 1-10,150 problems,Griffiths (more modern); Jackson (graduate),Out of print but available used. SI units; gem of pedagogy.
Quantum Mechanics,Introduction to Quantum Mechanics,David Griffiths,3rd (2018),Undergrad,Informal tone; step-by-step; accessible,Chapters 1-11,300+ problems with solutions,Shankar (more abstract); Cohen-Tannoudji (comprehensive),PRIMARY TEXT. Moved from Prentice Hall to Cambridge. Excellent pedagogy.
Quantum Mechanics,Quantum Mechanics: The Theoretical Minimum,David Tong,2018,Undergrad/Early Grad,Concise; emphasis on key ideas,All chapters (lecture notes; free online),30 problems per chapter,Griffiths (more detailed); Cohen-Tannoudji (rigorous),Free lecture notes from University of Cambridge. Complements Griffiths.
Quantum Mechanics,Quantum Mechanics Volumes I II & III,Cohen-Tannoudji Diu Laloe,1977,Graduate,Most comprehensive non-relativistic treatment,All volumes; Volumes 1-3 complete picture,400+ problems (extensive),Landau & Lifshitz Vol. 3 (terse); Sakurai (modern),Definitive graduate reference. Expensive but worth it for serious students. French edition reprinted 2020.
Quantum Mechanics,Quantum Mechanics,Landau Lifshitz,3rd (1977),Graduate,Elegant; minimal; emphasizes structure,All chapters but short,50 problems (deep),Cohen-Tannoudji (comprehensive); Griffiths (introductory),NOT an introduction. Return after graduate-level study. Reveals principles beneath formalism.
